Date,Price
07/24/2018,"254,760"
07/25/2018,"254,760"
07/26/2018,"254,760"
07/27/2018,"254,760"
07/28/2018,"254,760"
07/29/2018,"254,760"
07/30/2018,"254,760"
07/31/2018,"254,760"
08/01/2018,"470,294"
08/02/2018,"470,294"
08/03/2018,"470,294"
08/04/2018,"470,294"
08/05/2018,"470,294"
08/06/2018,"470,294"
08/07/2018,"470,294"
08/08/2018,"470,294"
08/09/2018,"470,294"
08/10/2018,"470,294"
08/11/2018,"470,294"
08/12/2018,"470,294"
08/13/2018,"470,294"
08/14/2018,"470,294"
08/15/2018,"470,294"
08/16/2018,"470,294"
08/17/2018,"470,294"
08/18/2018,"470,294"
08/19/2018,"470,294"
08/20/2018,"470,294"
08/21/2018,"470,294"
08/22/2018,"470,294"
08/23/2018,"470,294"
08/24/2018,"470,294"
08/25/2018,"470,294"
08/26/2018,"470,294"
08/27/2018,"470,294"
08/28/2018,"470,294"
08/29/2018,"470,294"
08/30/2018,"470,294"
08/31/2018,"470,294"
09/01/2018,"420,040"
09/02/2018,"420,040"
09/03/2018,"420,040"
09/04/2018,"420,040"
09/05/2018,"420,040"
09/06/2018,"420,040"
09/07/2018,"420,040"
09/08/2018,"420,040"
09/09/2018,"420,040"
09/10/2018,"420,040"
09/11/2018,"420,040"
09/12/2018,"420,040"
09/13/2018,"420,040"
09/14/2018,"420,040"
09/15/2018,"420,040"
09/16/2018,"420,040"
09/17/2018,"420,040"
09/18/2018,"420,040"
09/19/2018,"420,040"
09/20/2018,"420,040"
09/21/2018,"420,040"
09/22/2018,"420,040"
09/23/2018,"420,040"
09/24/2018,"420,040"
09/25/2018,"420,040"
09/26/2018,"420,040"
09/27/2018,"420,040"
09/28/2018,"420,040"
09/29/2018,"420,040"
09/30/2018,"420,040"
10/01/2018,"105,000"
10/02/2018,"105,000"
10/03/2018,"105,000"
10/04/2018,"105,000"
10/05/2018,"105,000"
10/06/2018,"105,000"
10/07/2018,"105,000"
10/08/2018,"105,000"
10/09/2018,"105,000"
10/10/2018,"105,000"
10/11/2018,"105,000"
10/12/2018,"105,000"
10/13/2018,"105,000"
10/14/2018,"105,000"
10/15/2018,"105,000"
10/16/2018,"105,000"
10/17/2018,"105,000"
10/18/2018,"105,000"
10/19/2018,"105,000"
10/20/2018,"105,000"
10/21/2018,"105,000"
10/22/2018,"105,000"
10/23/2018,"105,000"
